updated_at,procedure_code,group_key,current_subdomain,risk_type,resolution,target_subdomain,status,reason,note_suffix
2026-07-18,2.001023,co_con_nho,bao_hiem_y_te,subdomain_mismatch_candidate,changed_subdomain,lien_thong_khai_sinh_bao_hiem_cu_tru,applied,"Thủ tục là gói liên thông khai sinh + BHYT, không phải nhánh BHYT độc lập.",
2026-07-18,1.012783,dien_luc_nha_o_dat_dai,dang_ky_quyen_so_huu_quyen_su_dung,subdomain_mismatch_candidate,keep_current_subdomain,dang_ky_quyen_so_huu_quyen_su_dung,reviewed,"Tên thủ tục là cấp đổi Giấy chứng nhận quyền sử dụng đất, đúng nhánh đăng ký quyền.",semantic_review:keep_current_subdomain_2026_07_18
2026-07-18,1.012784,dien_luc_nha_o_dat_dai,dang_ky_quyen_so_huu_quyen_su_dung,subdomain_mismatch_candidate,keep_current_subdomain,dang_ky_quyen_so_huu_quyen_su_dung,reviewed,"Tách thửa, hợp thửa là thủ tục đất đai cốt lõi, không phải xây dựng nhà ở.",semantic_review:keep_current_subdomain_2026_07_18
2026-07-18,1.012790,dien_luc_nha_o_dat_dai,dang_ky_quyen_so_huu_quyen_su_dung,subdomain_mismatch_candidate,keep_current_subdomain,dang_ky_quyen_so_huu_quyen_su_dung,reviewed,"Đính chính Giấy chứng nhận đã cấp thuộc nhóm đăng ký, cấp đổi, chỉnh lý giấy chứng nhận.",semantic_review:keep_current_subdomain_2026_07_18
2026-07-18,1.013992,dien_luc_nha_o_dat_dai,chuyen_muc_dich_su_dung,subdomain_mismatch_candidate,keep_current_subdomain,chuyen_muc_dich_su_dung,reviewed,"Tên thủ tục nêu rõ chuyển mục đích sử dụng đất, nên giữ ở nhánh hiện tại.",semantic_review:keep_current_subdomain_2026_07_18
2026-07-18,2.000547,co_con_nho,khai_sinh,cross_group_overlap,intentional_overlap,khai_sinh,reviewed,Thủ tục hộ tịch khác có bao gồm khai sinh nên giữ overlap ở nhóm Có con nhỏ.,semantic_review:intentional_overlap_2026_07_18
2026-07-18,2.000547,hon_nhan_gia_dinh,cai_chinh_trich_luc_ho_tich,cross_group_overlap,intentional_overlap,cai_chinh_trich_luc_ho_tich,reviewed,Thủ tục hộ tịch khác bao gồm các nhánh quan hệ gia đình và cải chính hộ tịch.,semantic_review:intentional_overlap_2026_07_18
2026-07-18,2.000547,nguoi_than_qua_doi,khai_tu,domain_mismatch_candidate,keep_current_domain,khai_tu,reviewed,"Thủ tục hộ tịch khác có bao gồm khai tử, nên membership ở nhóm Người thân qua đời là hợp lệ.",semantic_review:keep_current_domain_2026_07_18
2026-07-18,2.000547,nguoi_than_qua_doi,khai_tu,cross_group_overlap,intentional_overlap,khai_tu,reviewed,Thủ tục hộ tịch khác có bao gồm khai tử nên overlap là chủ ý.,semantic_review:intentional_overlap_2026_07_18
2026-07-18,1.004222,co_con_nho,cu_tru,cross_group_overlap,intentional_overlap,cu_tru,reviewed,Đăng ký thường trú cho trẻ nhỏ là route hợp lệ của hành trình sau sinh.,semantic_review:intentional_overlap_2026_07_18
2026-07-18,1.004222,cu_tru_giay_to,ho_khau,cross_group_overlap,intentional_overlap,ho_khau,reviewed,"Đây vẫn là thủ tục cư trú chuẩn, overlap với Có con nhỏ là do citizen journey.",semantic_review:intentional_overlap_2026_07_18
2026-07-18,1.000689,co_con_nho,khai_sinh,cross_group_overlap,intentional_overlap,khai_sinh,reviewed,Thủ tục kết hợp khai sinh và nhận cha mẹ con phải xuất hiện ở nhóm Có con nhỏ.,semantic_review:intentional_overlap_2026_07_18
2026-07-18,1.000689,hon_nhan_gia_dinh,nhan_cha_me_con,cross_group_overlap,intentional_overlap,nhan_cha_me_con,reviewed,Đây cũng là thủ tục quan hệ gia đình cốt lõi nên overlap là chủ ý.,semantic_review:intentional_overlap_2026_07_18
2026-07-18,1.001695,co_con_nho,khai_sinh,cross_group_overlap,intentional_overlap,khai_sinh,reviewed,Bản có yếu tố nước ngoài vẫn là workflow khai sinh cho trẻ nhỏ.,semantic_review:intentional_overlap_2026_07_18
2026-07-18,1.001695,hon_nhan_gia_dinh,nhan_cha_me_con,cross_group_overlap,intentional_overlap,nhan_cha_me_con,reviewed,Yếu tố nước ngoài không làm mất bản chất quan hệ gia đình của thủ tục.,semantic_review:intentional_overlap_2026_07_18
